omega,Re_G,Im_G
 6.28320000e-01, 5.70000800e-01,-1.45228753e-01
 6.30688911e-01, 5.69932813e-01,-1.45687402e-01
 6.33066753e-01, 5.69856391e-01,-1.46148476e-01
 6.35453560e-01, 5.69771663e-01,-1.46611966e-01
 6.37849366e-01, 5.69678757e-01,-1.47077863e-01
 6.40254205e-01, 5.69577804e-01,-1.47546155e-01
 6.42668110e-01, 5.69468931e-01,-1.48016833e-01
 6.45091117e-01, 5.69352268e-01,-1.48489885e-01
 6.47523259e-01, 5.69227940e-01,-1.48965301e-01
 6.49964570e-01, 5.69096077e-01,-1.49443070e-01
 6.52415086e-01, 5.68956803e-01,-1.49923181e-01
 6.54874841e-01, 5.68810245e-01,-1.50405621e-01
 6.57343870e-01, 5.68656527e-01,-1.50890379e-01
 6.59822207e-01, 5.68495775e-01,-1.51377444e-01
 6.62309888e-01, 5.68328111e-01,-1.51866803e-01
 6.64806949e-01, 5.68153658e-01,-1.52358444e-01
 6.67313424e-01, 5.67972537e-01,-1.52852354e-01
 6.69829349e-01, 5.67784870e-01,-1.53348521e-01
 6.72354760e-01, 5.67590776e-01,-1.53846931e-01
 6.74889691e-01, 5.67390373e-01,-1.54347573e-01
 6.77434181e-01, 5.67183780e-01,-1.54850431e-01
 6.79988263e-01, 5.66971112e-01,-1.55355494e-01
 6.82551975e-01, 5.66752486e-01,-1.55862746e-01
 6.85125353e-01, 5.66528014e-01,-1.56372175e-01
 6.87708433e-01, 5.66297810e-01,-1.56883766e-01
 6.90301252e-01, 5.66061986e-01,-1.57397505e-01
 6.92903847e-01, 5.65820651e-01,-1.57913378e-01
 6.95516253e-01, 5.65573915e-01,-1.58431369e-01
 6.98138509e-01, 5.65321884e-01,-1.58951464e-01
 7.00770652e-01, 5.65064666e-01,-1.59473648e-01
 7.03412719e-01, 5.64802363e-01,-1.59997906e-01
 7.06064746e-01, 5.64535080e-01,-1.60524223e-01
 7.08726773e-01, 5.64262918e-01,-1.61052582e-01
 7.11398835e-01, 5.63985977e-01,-1.61582968e-01
 7.14080973e-01, 5.63704355e-01,-1.62115366e-01
 7.16773222e-01, 5.63418149e-01,-1.62649759e-01
 7.19475622e-01, 5.63127453e-01,-1.63186130e-01
 7.22188210e-01, 5.62832362e-01,-1.63724464e-01
 7.24911026e-01, 5.62532968e-01,-1.64264744e-01
 7.27644107e-01, 5.62229359e-01,-1.64806952e-01
 7.30387492e-01, 5.61921624e-01,-1.65351073e-01
 7.33141221e-01, 5.61609851e-01,-1.65897089e-01
 7.35905332e-01, 5.61294122e-01,-1.66444983e-01
 7.38679864e-01, 5.60974522e-01,-1.66994737e-01
 7.41464857e-01, 5.60651132e-01,-1.67546334e-01
 7.44260350e-01, 5.60324030e-01,-1.68099756e-01
 7.47066383e-01, 5.59993294e-01,-1.68654985e-01
 7.49882995e-01, 5.59658999e-01,-1.69212003e-01
 7.52710226e-01, 5.59321220e-01,-1.69770793e-01
 7.55548117e-01, 5.58980027e-01,-1.70331335e-01
 7.58396707e-01, 5.58635491e-01,-1.70893612e-01
 7.61256037e-01, 5.58287679e-01,-1.71457604e-01
 7.64126147e-01, 5.57936658e-01,-1.72023293e-01
 7.67007078e-01, 5.57582491e-01,-1.72590660e-01
 7.69898871e-01, 5.57225240e-01,-1.73159687e-01
 7.72801567e-01, 5.56864966e-01,-1.73730353e-01
 7.75715206e-01, 5.56501727e-01,-1.74302641e-01
 7.78639831e-01, 5.56135579e-01,-1.74876529e-01
 7.81575482e-01, 5.55766576e-01,-1.75452000e-01
 7.84522201e-01, 5.55394771e-01,-1.76029033e-01
 7.87480030e-01, 5.55020214e-01,-1.76607608e-01
 7.90449011e-01, 5.54642953e-01,-1.77187706e-01
 7.93429185e-01, 5.54263035e-01,-1.77769307e-01
 7.96420596e-01, 5.53880504e-01,-1.78352391e-01
 7.99423285e-01, 5.53495404e-01,-1.78936937e-01
 8.02437294e-01, 5.53107774e-01,-1.79522926e-01
 8.05462667e-01, 5.52717653e-01,-1.80110336e-01
 8.08499446e-01, 5.52325078e-01,-1.80699149e-01
 8.11547675e-01, 5.51930085e-01,-1.81289342e-01
 8.14607397e-01, 5.51532705e-01,-1.81880896e-01
 8.17678654e-01, 5.51132971e-01,-1.82473789e-01
 8.20761490e-01, 5.50730911e-01,-1.83068001e-01
 8.23855950e-01, 5.50326553e-01,-1.83663512e-01
 8.26962076e-01, 5.49919922e-01,-1.84260299e-01
 8.30079913e-01, 5.49511042e-01,-1.84858343e-01
 8.33209505e-01, 5.49099935e-01,-1.85457622e-01
 8.36350896e-01, 5.48686622e-01,-1.86058114e-01
 8.39504132e-01, 5.48271119e-01,-1.86659799e-01
 8.42669255e-01, 5.47853445e-01,-1.87262656e-01
 8.45846312e-01, 5.47433613e-01,-1.87866662e-01
 8.49035347e-01, 5.47011637e-01,-1.88471798e-01
 8.52236405e-01, 5.46587529e-01,-1.89078040e-01
 8.55449532e-01, 5.46161298e-01,-1.89685369e-01
 8.58674774e-01, 5.45732952e-01,-1.90293762e-01
 8.61912175e-01, 5.45302498e-01,-1.90903197e-01
 8.65161782e-01, 5.44869941e-01,-1.91513654e-01
 8.68423641e-01, 5.44435283e-01,-1.92125110e-01
 8.71697798e-01, 5.43998528e-01,-1.92737544e-01
 8.74984299e-01, 5.43559675e-01,-1.93350934e-01
 8.78283191e-01, 5.43118723e-01,-1.93965258e-01
 8.81594520e-01, 5.42675669e-01,-1.94580496e-01
 8.84918334e-01, 5.42230510e-01,-1.95196624e-01
 8.88254680e-01, 5.41783239e-01,-1.95813622e-01
 8.91603604e-01, 5.41333851e-01,-1.96431467e-01
 8.94965154e-01, 5.40882336e-01,-1.97050138e-01
 8.98339379e-01, 5.40428686e-01,-1.97669613e-01
 9.01726325e-01, 5.39972890e-01,-1.98289870e-01
 9.05126040e-01, 5.39514935e-01,-1.98910888e-01
 9.08538573e-01, 5.39054809e-01,-1.99532644e-01
 9.11963973e-01, 5.38592498e-01,-2.00155118e-01
 9.15402286e-01, 5.38127985e-01,-2.00778286e-01
 9.18853564e-01, 5.37661255e-01,-2.01402128e-01
 9.22317853e-01, 5.37192289e-01,-2.02026622e-01
 9.25795203e-01, 5.36721070e-01,-2.02651746e-01
 9.29285664e-01, 5.36247578e-01,-2.03277478e-01
 9.32789284e-01, 5.35771791e-01,-2.03903797e-01
 9.36306114e-01, 5.35293689e-01,-2.04530681e-01
 9.39836203e-01, 5.34813249e-01,-2.05158109e-01
 9.43379602e-01, 5.34330448e-01,-2.05786059e-01
 9.46936360e-01, 5.33845261e-01,-2.06414510e-01
 9.50506528e-01, 5.33357666e-01,-2.07043440e-01
 9.54090156e-01, 5.32867634e-01,-2.07672828e-01
 9.57687295e-01, 5.32375142e-01,-2.08302652e-01
 9.61297996e-01, 5.31880161e-01,-2.08932892e-01
