omega,Re_G_variance,Im_G_variance
6.283199999999999896e-01,2.995967245121959452e-12,2.460881649033649536e-12
6.284145399671146048e-01,2.993806436046927307e-12,2.459042572868269797e-12
6.285090941591550129e-01,2.991664463344635364e-12,2.457222807448806153e-12
6.286036625782616127e-01,2.989541195280943176e-12,2.455422201390953990e-12
6.286982452265750254e-01,2.987436500947111745e-12,2.453640604293307674e-12
6.287928421062362050e-01,2.985350250171638503e-12,2.451877866812902172e-12
6.288874532193865496e-01,2.983282313672013054e-12,2.450133840670050523e-12
6.289820785681676796e-01,2.981232563086379850e-12,2.448408378533794272e-12
6.290767181547215481e-01,2.979200870693776257e-12,2.446701334108446831e-12
6.291713719811903305e-01,2.977187109518108513e-12,2.445012562100661761e-12
6.292660400497168682e-01,2.975191153695251092e-12,2.443341918224584472e-12
6.293607223624438918e-01,2.973212877906200586e-12,2.441689259163681148e-12
6.294554189215146867e-01,2.971252157600806256e-12,2.440054442538116818e-12
6.295501297290728715e-01,2.969308869125431703e-12,2.438437327023950136e-12
6.296448547872622870e-01,2.967382889647198377e-12,2.436837772190514040e-12
6.297395940982272178e-01,2.965474096875277404e-12,2.435255638565568745e-12
6.298343476641121708e-01,2.963582369451687998e-12,2.433690787678728318e-12
6.299291154870619858e-01,2.961707586839831242e-12,2.432143081947945088e-12
6.300238975692218357e-01,2.959849629034207447e-12,2.430612384701490109e-12
6.301186939127372266e-01,2.958008377022553639e-12,2.429098560270237923e-12
6.302135045197541086e-01,2.956183712328511235e-12,2.427601473836572406e-12
6.303083293924184316e-01,2.954375517401969663e-12,2.426120991548425008e-12
6.304031685328768120e-01,2.952583675245645205e-12,2.424656980379238485e-12
6.304980219432760880e-01,2.950808069769462463e-12,2.423209308323084186e-12
6.305928896257632088e-01,2.949048585477030284e-12,2.421777844130547080e-12
6.306877715824857900e-01,2.947305107605384398e-12,2.420362457520121697e-12
6.307826678155915578e-01,2.945577522121601947e-12,2.418963019065515231e-12
6.308775783272285720e-01,2.943865715814699320e-12,2.417579400223461894e-12
6.309725031195452249e-01,2.942169575875605343e-12,2.416211473253668553e-12
6.310674421946903534e-01,2.940488990572574447e-12,2.414859111370783721e-12
6.311623955548127940e-01,2.938823848557504846e-12,2.413522188583535163e-12
6.312573632020621606e-01,2.937174039386449205e-12,2.412200579712006581e-12
6.313523451385881780e-01,2.935539453218959132e-12,2.410894160534216199e-12
6.314473413665406820e-01,2.933919980755666559e-12,2.409602807501659932e-12
6.315423518880701748e-01,2.932315513627520285e-12,2.408326397988387263e-12
6.316373767053272692e-01,2.930725943976640071e-12,2.407064810232909175e-12
6.317324158204630224e-01,2.929151164643549457e-12,2.405817923172617022e-12
6.318274692356286026e-01,2.927591069211659738e-12,2.404585616633581714e-12
6.319225369529759551e-01,2.926045551683759149e-12,2.403367771208141887e-12
6.320176189746568030e-01,2.924514506989683647e-12,2.402164268299423427e-12
6.321127153028235357e-01,2.922997830603471640e-12,2.400974990095940420e-12
6.322078259396287647e-01,2.921495418528814411e-12,2.399799819573156619e-12
6.323029508872254345e-01,2.920007167604690870e-12,2.398638640478963332e-12
6.323980901477668226e-01,2.918532975253420782e-12,2.397491337351454114e-12
6.324932437234064286e-01,2.917072739418743754e-12,2.396357795477635612e-12
6.325884116162983073e-01,2.915626358717286992e-12,2.395237900932785283e-12
6.326835938285966243e-01,2.914193732495066016e-12,2.394131540496318080e-12
6.327787903624559895e-01,2.912774760576028625e-12,2.393038601755663455e-12
6.328740012200312348e-01,2.911369343449054253e-12,2.391958973006134904e-12
6.329692264034776361e-01,2.909977382312667774e-12,2.390892543333371358e-12
6.330644659149506914e-01,2.908598778729190357e-12,2.389839202459720694e-12
6.331597197566063429e-01,2.907233435190413874e-12,2.388798840923323533e-12
6.332549879306005325e-01,2.905881254511480268e-12,2.387771350015749960e-12
6.333502704390900906e-01,2.904542140254475981e-12,2.386756621639358527e-12
6.334455672842316254e-01,2.903215996489367867e-12,2.385754548491764399e-12
6.335408784681824113e-01,2.901902727874447319e-12,2.384765023928649344e-12
6.336362039930998336e-01,2.900602239724865087e-12,2.383787942073180203e-12
6.337315438611418328e-01,2.899314437856612414e-12,2.382823197711114472e-12
6.338268980744664605e-01,2.898039228796924201e-12,2.381870686309219609e-12
6.339222666352322122e-01,2.896776519415735709e-12,2.380930304017645523e-12
6.340176495455978056e-01,2.895526217372358882e-12,2.380001947736560680e-12
6.341130468077224025e-01,2.894288230735256741e-12,2.379085514936582015e-12
6.342084584237653866e-01,2.893062468239660465e-12,2.378180903907474779e-12
6.343038843958865858e-01,2.891848839131882124e-12,2.377288013493069427e-12
6.343993247262460500e-01,2.890647253179011437e-12,2.376406743200892132e-12
6.344947794170041622e-01,2.889457620737596799e-12,2.375536993317059680e-12
6.345902484703217494e-01,2.888279852763298418e-12,2.374678664641481921e-12
6.346857318883597499e-01,2.887113860655492663e-12,2.373831658699134513e-12
6.347812296732795456e-01,2.885959556349625079e-12,2.372995877673221283e-12
6.348767418272429630e-01,2.884816852468406326e-12,2.372171224386534382e-12
6.349722683524119393e-01,2.883685662013301270e-12,2.371357602277523003e-12
6.350678092509489669e-01,2.882565898527640281e-12,2.370554915424493663e-12
6.351633645250165383e-01,2.881457476177109393e-12,2.369763068500389916e-12
6.352589341767777009e-01,2.880360309512204882e-12,2.368981966898523003e-12
6.353545182083958354e-01,2.879274313831464502e-12,2.368211516564562903e-12
6.354501166220346553e-01,2.878199404637861998e-12,2.367451624068942490e-12
6.355457294198580964e-01,2.877135498131578553e-12,2.366702196567141550e-12
6.356413566040305385e-01,2.876082511031483636e-12,2.365963141914792521e-12
6.357369981767164724e-01,2.875040360549788059e-12,2.365234368478577229e-12
6.358326541400809440e-01,2.874008964413799473e-12,2.364515785326104018e-12
6.359283244962892212e-01,2.872988240699487809e-12,2.363807301978245509e-12
6.360240092475070162e-01,2.871978108206175483e-12,2.363108828679060806e-12
6.361197083959001519e-01,2.870978486090144848e-12,2.362420276196239786e-12
6.362154219436348956e-01,2.869989293968856489e-12,2.361741555909669988e-12
6.363111498928778476e-01,2.869010452072089825e-12,2.361072579772010636e-12
6.364068922457959410e-01,2.868041881028658949e-12,2.360413260317295638e-12
6.365026490045565533e-01,2.867083501958845619e-12,2.359763510642917367e-12
6.365984201713270618e-01,2.866135236531512685e-12,2.359123244450262312e-12
6.366942057482755102e-01,2.865197006751037229e-12,2.358492375920172332e-12
6.367900057375699419e-01,2.864268735202465409e-12,2.357870819897523467e-12
6.368858201413790665e-01,2.863350344920712910e-12,2.357258491740096649e-12
6.369816489618717048e-01,2.862441759424270131e-12,2.356655307375316310e-12
6.370774922012170105e-01,2.861542902654981983e-12,2.356061183271755872e-12
6.371733498615845814e-01,2.860653698976589819e-12,2.355476036437322229e-12
