omega,Re_G,Im_G
6.283199999999999896e-01,0,0
6.378637970635495646e-01,5.769901869484251877e-01,-1.398639311948856878e-01
6.475525585757720970e-01,5.738910556429343002e-01,-1.412883909673953164e-01
6.573884864581083232e-01,5.707919243374433016e-01,-1.427128507399049728e-01
6.673738160778406314e-01,5.676927930319524140e-01,-1.441373105124146015e-01
6.775108167561153527e-01,5.645936617264615265e-01,-1.455617702849242301e-01
6.878017922836809905e-01,4.665110465951110563e-01,-3.187220573617373098e-01
6.982490814444607397e-01,4.900785636340569962e-01,-2.800881655872578535e-01
7.088550585470769771e-01,5.136460806730029915e-01,-2.414542738127783417e-01
7.196221339644500725e-01,5.372135977119488759e-01,-2.028203820382988853e-01
7.305527546815929751e-01,5.607811147508948713e-01,-1.641864902638192347e-01
7.416494048517263682e-01,5.632324915063163795e-01,-1.724459051213214078e-01
7.529146063608413986e-01,5.605268818212427728e-01,-1.743927881355385456e-01
7.643509194008373253e-01,5.578212721361691662e-01,-1.763396711497557112e-01
7.759609430513643158e-01,5.551156624510955595e-01,-1.782865541639728768e-01
7.877473158705053935e-01,5.524100527660219528e-01,-1.802334371781900146e-01
7.997127164944295430e-01,5.771213872884898288e-01,-1.976415742835605227e-01
8.118598642461528625e-01,6.107218909414022789e-01,-2.118694709290282474e-01
8.241915197535474302e-01,6.443223945943146180e-01,-2.260973675744958888e-01
8.367104855767368843e-01,6.779228982472271792e-01,-2.403252642199636968e-01
8.494196068450211579e-01,7.115234019001395183e-01,-2.545531608654313382e-01
8.623217719034770301e-01,5.245873186839163926e-01,-1.814150343245471420e-01
8.754199129693785997e-01,5.284049155296440814e-01,-1.865360917259525353e-01
8.887170067985897814e-01,5.322225123753717702e-01,-1.916571491273579009e-01
9.022160753620779294e-01,5.360401092210994589e-01,-1.967782065287632387e-01
9.159201865327041281e-01,5.398577060668272587e-01,-2.018992639301686598e-01
9.298324547824440289e-01,5.292616413363466776e-01,-2.072640556097668230e-01
9.439560418902008809e-01,5.256305281853733691e-01,-2.050902796668660211e-01
9.582941576603682954e-01,5.219994150344000605e-01,-2.029165037239652192e-01
9.728500606523082794e-01,5.183683018834267520e-01,-2.007427277810643895e-01
9.876270589209095174e-01,5.147371887324534434e-01,-1.985689518381635876e-01
1.002628510768394099e+00,5.372145797057586991e-01,-2.142322786875174301e-01
1.017857825507543668e+00,5.339112840328339438e-01,-2.148095736836463376e-01
1.033318464236519185e+00,5.306079883599090774e-01,-2.153868686797752730e-01
1.049013940625448393e+00,5.273046926869843221e-01,-2.159641636759042083e-01
1.064947821714962828e+00,5.240013970140595667e-01,-2.165414586720331158e-01
1.081123728726862465e+00,5.034845210558376305e-01,-2.428674013873782511e-01
1.097545337887094963e+00,5.041295904829259378e-01,-2.423020944395557763e-01
1.114216381261234456e+00,5.047746599100141340e-01,-2.417367874917333015e-01
1.131140647602652427e+00,5.054197293371023303e-01,-2.411714805439108544e-01
1.148321983213570263e+00,5.060647987641905265e-01,-2.406061735960883796e-01
1.165764292819190029e+00,4.950572629481044817e-01,-2.424437467521409206e-01
1.183471540455106163e+00,4.931979601953513925e-01,-2.469285449055296788e-01
1.201447750368191514e+00,4.913386574425983033e-01,-2.514133430589183815e-01
1.219697007931172639e+00,4.894793546898452141e-01,-2.558981412123071397e-01
1.238223460571091339e+00,4.876200519370921249e-01,-2.603829393656958979e-01
1.257031318711874013e+00,4.711358266059249567e-01,-2.575263725808841775e-01
1.276124856731214674e+00,4.691805898324371005e-01,-2.604826163648785720e-01
1.295508413931994562e+00,4.672253530589491888e-01,-2.634388601488729664e-01
1.315186395528454844e+00,4.652701162854612771e-01,-2.663951039328673609e-01
1.335163273647350879e+00,4.633148795119734209e-01,-2.693513477168617554e-01
1.355443588344312555e+00,4.602024896710588120e-01,-2.514999236451181397e-01
1.376031948635640934e+00,4.572588224456220485e-01,-2.581757629339225812e-01
1.396933033545781244e+00,4.543151552201852850e-01,-2.648516022227271893e-01
1.418151593170700941e+00,4.513714879947485770e-01,-2.715274415115316309e-01
1.439692449757425496e+00,4.484278207693118135e-01,-2.782032808003361835e-01
1.461560498799966412e+00,4.540953068580872443e-01,-2.858197102415250823e-01
1.483760710151900586e+00,4.462955034261221754e-01,-2.876714151595651248e-01
1.506298129155844157e+00,4.384956999941572731e-01,-2.895231200776051117e-01
1.529177877790087514e+00,4.306958965621922042e-01,-2.913748249956450986e-01
1.552405155832642158e+00,4.228960931302273019e-01,-2.932265299136850856e-01
1.575985242042972745e+00,4.226499149370770980e-01,-2.929936987375090229e-01
1.599923495361675219e+00,4.157512515957145216e-01,-2.964553174101220989e-01
1.624225356128381259e+00,4.088525882543518897e-01,-2.999169360827352304e-01
1.648896347318158373e+00,4.019539249129893133e-01,-3.033785547553483619e-01
