omega,Re_G,Im_G
6.283199999999999896e-01,5.681039700330386966e-01,-1.477953656969110408e-01
6.378637970635495646e-01,5.670730750470993620e-01,-1.500091313227397416e-01
6.475525585757720970e-01,5.659898165920675961e-01,-1.522196872967221670e-01
6.573884864581083232e-01,5.648658056854943821e-01,-1.544291858391102501e-01
6.673738160778406314e-01,5.637109232051115137e-01,-1.566395195940999407e-01
6.775108167561153527e-01,5.625333015251643420e-01,-1.588523161030926667e-01
6.878017922836809905e-01,5.613393340832220080e-01,-1.610689393231330424e-01
6.982490814444607397e-01,5.601337121512086625e-01,-1.632904976407013875e-01
7.088550585470769771e-01,5.589194875977582244e-01,-1.655178576766928866e-01
7.196221339644500725e-01,5.576981599512667032e-01,-1.677516630541178999e-01
7.305527546815929751e-01,5.564697856402280873e-01,-1.699923572031027397e-01
7.416494048517263682e-01,5.552331068830987926e-01,-1.722402092162713116e-01
7.529146063608413986e-01,5.539856973483798797e-01,-1.744953417391314765e-01
7.643509194008373253e-01,5.527241214137290637e-01,-1.767577598830500918e-01
7.759609430513643158e-01,5.514441036209053459e-01,-1.790273801871950232e-01
7.877473158705053935e-01,5.501407047637151271e-01,-1.813040587189609643e-01
7.997127164944295430e-01,5.488085009631373801e-01,-1.835876174954297058e-01
8.118598642461528625e-01,5.474417620704573606e-01,-1.858778685196081082e-01
8.241915197535474302e-01,5.460346258143725651e-01,-1.881746348536642577e-01
8.367104855767368843e-01,5.445812642508814916e-01,-1.904777682898057822e-01
8.494196068450211579e-01,5.430760392980632512e-01,-1.927871633224157721e-01
8.623217719034770301e-01,5.415136444277133254e-01,-1.951027672670541391e-01
8.754199129693785997e-01,5.398892299435237296e-01,-1.974245865078940176e-01
8.887170067985897814e-01,5.381985096813985958e-01,-1.997526889786697957e-01
9.022160753620779294e-01,5.364378474320179446e-01,-2.020872030916872619e-01
9.159201865327041281e-01,5.346043218732344782e-01,-2.044283134193505269e-01
9.298324547824440289e-01,5.326957693196803234e-01,-2.067762535010681524e-01
9.439560418902008809e-01,5.307108041307385671e-01,-2.091312961974363116e-01
9.582941576603682954e-01,5.286488171411429793e-01,-2.114937420357212161e-01
9.728500606523082794e-01,5.265099529992463001e-01,-2.138639059971247647e-01
9.876270589209095174e-01,5.242950677860375164e-01,-2.162421031788215597e-01
1.002628510768394099e+00,5.220056687389207362e-01,-2.186286337332523366e-01
1.017857825507543668e+00,5.196438383081317669e-01,-2.210237674419294196e-01
1.033318464236519185e+00,5.172121451119592317e-01,-2.234277282284607979e-01
1.049013940625448393e+00,5.147135446356093658e-01,-2.258406788564612799e-01
1.064947821714962828e+00,5.121512727150774325e-01,-2.282627060018859455e-01
1.081123728726862465e+00,5.095287349648500719e-01,-2.306938058339323971e-01
1.097545337887094963e+00,5.068493953483318437e-01,-2.331338701926454204e-01
1.114216381261234456e+00,5.041166670392079885e-01,-2.355826734167906500e-01
1.131140647602652427e+00,5.013338085921186238e-01,-2.380398598509033958e-01
1.148321983213570263e+00,4.985038282357862616e-01,-2.405049320536914725e-01
1.165764292819190029e+00,4.956293988192495559e-01,-2.429772397351003255e-01
1.183471540455106163e+00,4.927127855965808267e-01,-2.454559694685811144e-01
1.201447750368191514e+00,4.897557886374528935e-01,-2.479401352581293572e-01
1.219697007931172639e+00,4.867597012046080973e-01,-2.504285700800136238e-01
1.238223460571091339e+00,4.837252849659201548e-01,-2.529199185667818095e-01
1.257031318711874013e+00,4.806527624145637834e-01,-2.554126310504404862e-01
1.276124856731214674e+00,4.775418263721714074e-01,-2.579049592291552950e-01
1.295508413931994562e+00,4.743916659630132426e-01,-2.603949537626931710e-01
1.315186395528454844e+00,4.712010079804011542e-01,-2.628804641302586731e-01
1.335163273647350879e+00,4.679681721395572147e-01,-2.653591411013539458e-01
1.355443588344312555e+00,4.646911383282145147e-01,-2.678284421641113910e-01
1.376031948635640934e+00,4.613676236463962188e-01,-2.702856402338206232e-01
1.396933033545781244e+00,4.579951667714846075e-01,-2.727278359166578348e-01
1.418151593170700941e+00,4.545712170050753564e-01,-2.751519735354492346e-01
1.439692449757425496e+00,4.510932252585794222e-01,-2.775548610342017941e-01
1.461560498799966412e+00,4.475587342156872039e-01,-2.799331937682792981e-01
1.483760710151900586e+00,4.439654649741148207e-01,-2.822835820614623681e-01
1.506298129155844157e+00,4.403113976093409043e-01,-2.846025822742280775e-01
1.529177877790087514e+00,4.365948433261726547e-01,-2.868867309823947553e-01
1.552405155832642158e+00,4.328145061442799646e-01,-2.891325817237402340e-01
1.575985242042972745e+00,4.289695324098694029e-01,-2.913367436283516576e-01
1.599923495361675219e+00,4.250595468218728024e-01,-2.934959211262261336e-01
1.624225356128381259e+00,4.210846740845888836e-01,-2.956069538160098764e-01
1.648896347318158373e+00,4.170455457535963140e-01,-2.976668554984165938e-01
1.673942075796692519e+00,4.129432923042132830e-01,-2.996728513243814840e-01
1.699368233594535482e+00,4.087795209022997978e-01,-3.016224119911912194e-01
1.725180599200705656e+00,4.045562798020155837e-01,-3.035132839372599034e-01
1.751385038875941991e+00,4.002760106921182670e-01,-3.053435145438440634e-01
1.777987507985899995e+00,3.959414906802807832e-01,-3.071114714488528130e-01
1.804994052354603307e+00,3.915557659043213956e-01,-3.088158552076973873e-01
1.832410809638449489e+00,3.871220790054620831e-01,-3.104557047047875606e-01
1.860244010721088914e+00,3.826437928635190167e-01,-3.120303949103329089e-01
1.888499981129488470e+00,3.781243130908609751e-01,-3.135396267997614950e-01
1.917185142471506953e+00,3.735670117931973455e-01,-3.149834094810464169e-01
1.946306013895304332e+00,3.689751550434716698e-01,-3.163620348210268718e-01
1.975869213570920380e+00,3.643518363707556329e-01,-3.176760450990542273e-01
2.005881460194354204e+00,3.596999183565317004e-01,-3.189261944525180192e-01
2.036349574514495941e+00,3.550219841471256577e-01,-3.201134050869949843e-01
2.067280480883244564e+00,3.503203003676195193e-01,-3.212387194195853168e-01
2.098681208829174416e+00,3.455967925322279699e-01,-3.223032494722766761e-01
2.130558894655107949e+00,3.408530336446074505e-01,-3.233081249547617997e-01
2.162920783059947283e+00,3.360902462453280726e-01,-3.242544415440400951e-01
2.195774228785147830e+00,3.313093177294605951e-01,-3.251432108989697478e-01
2.229126698286194586e+00,3.265108283258993938e-01,-3.259753139164799363e-01
2.262985771429471438e+00,3.216950907259658043e-01,-3.267514586726876780e-01
2.297359143214903643e+00,3.168621999700720338e-01,-3.274721443654216579e-01
2.332254625524766922e+00,3.120120918792562148e-01,-3.281376324123719268e-01
2.367680148899056203e+00,3.071446080430186298e-01,-3.287479256590112309e-01
2.403643764337825228e+00,3.022595651675671902e-01,-3.293027564116087769e-01
2.440153645130902493e+00,2.973568264567438280e-01,-3.298015837512622839e-01
2.477218088715397837e+00,2.924363726276524300e-01,-3.302436003049050717e-01
2.514845518561422466e+00,2.874983701880351461e-01,-3.306277483651861582e-01
2.553044486086453180e+00,2.825432346821916130e-01,-3.309527449616757044e-01
2.591823672598776884e+00,2.775716867824029044e-01,-3.312171152134080754e-01
2.631191891270451055e+00,2.725847993280109960e-01,-3.314192330296546474e-01
2.671158089140234448e+00,2.675840337031067384e-01,-3.315573679977446564e-01
2.711731349146940584e+00,2.625712642828330057e-01,-3.316297371012094097e-01
2.752920892193674085e+00,2.575487900556069909e-01,-3.316345597430474523e-01
2.794736079243429483e+00,2.525193329317058089e-01,-3.315701144528249711e-01
2.837186413446509903e+00,2.474860226629328475e-01,-3.314347955718002781e-01
2.880281542300268782e+00,2.424523687228070934e-01,-3.312271682146767371e-01
2.924031259841651131e+00,2.374222199000766698e-01,-3.309460198287810240e-01
2.968445508873042371e+00,2.323997127261320794e-01,-3.305904067680656699e-01
3.013534383221923907e+00,2.273892102245093083e-01,-3.301596944282098045e-01
3.059308130034852802e+00,2.223952327392262340e-01,-3.296535896725338866e-01
3.105777152106281136e+00,2.174223828549065873e-01,-3.290721644907432242e-01
3.152952010242758174e+00,2.124752665884498959e-01,-3.284158700891856020e-01
3.200843425663033592e+00,2.075584131402732901e-01,-3.276855408805030012e-01
3.249462282434623095e+00,2.026761955268649718e-01,-3.268823881427277978e-01
3.298819629947378651e+00,1.978327543821718770e-01,-3.260079834141753619e-01
3.348926685424637562e+00,1.930319271043654250e-01,-3.250642319975709515e-01
3.399794836472508575e+00,1.882771843522811350e-01,-3.240533372457477523e-01
3.451435643667882136e+00,1.835715756694135670e-01,-3.229777565757808722e-01
3.503860843185752749e+00,1.789176857203361726e-01,-3.218401504176149897e-01
3.557082349466441418e+00,1.743176023010456488e-01,-3.206433255187032261e-01
3.611112257923345226e+00,1.697728969342224836e-01,-3.193901742157997381e-01
3.665962847691801585e+00,1.652846184624236492e-01,-3.180836114140573878e-01
3.721646584419715964e+00,1.608532996973706941e-01,-3.167265110998476740e-01
3.778176123100569939e+00,1.564789767628431694e-01,-3.153216442479421233e-01
3.835564310949469036e+00,1.521612204412886027e-01,-3.138716199570534826e-01
3.893824190322869416e+00,1.478991784636534967e-01,-3.123788315611860655e-01
3.952969001682657524e+00,1.436916274062107202e-01,-3.108454093370211502e-01
4.013012186605246612e+00,1.395370325811267076e-01,-3.092731812312243811e-01
4.073967390836389590e+00,1.354336141200330745e-01,-3.076636427973671872e-01
4.135848467392381878e+00,1.313794172998735132e-01,-3.060179372580349999e-01
4.198669479708376784e+00,1.273723850769742372e-01,-3.043368462915822525e-01
4.262444704834515541e+00,1.234104307819804680e-01,-3.026207918146084919e-01
4.327188636680616263e+00,1.194915089559527299e-01,-3.008698486784880388e-01
4.392915989310131941e+00,1.156136824326021717e-01,-2.990837678494610019e-01
4.459641700284154631e+00,1.117751839073470727e-01,-2.972620092999115338e-01
4.527380934056206563e+00,1.079744704583600196e-01,-2.954037835145720825e-01
4.596149085418595348e+00,1.042102697050786564e-01,-2.935081002304691378e-01
4.665961783001122853e+00,1.004816166043845799e-01,-2.915738227765957147e-01
4.736834892822933796e+00,9.678788015343985085e-02,-2.895997261907526377e-01
4.808784521898314956e+00,9.312877960286000678e-02,-2.875845571535155520e-01
4.881827021897257701e+00,8.950439008420398024e-02,-2.855270937125146680e-01
4.955978992861638233e+00,8.591513788533934604e-02,-2.834262027760917069e-01
