omega,Re_G,Im_G
6.283199999999999896e-01,5.681039700330386966e-01,-1.477953656969110408e-01
6.284145399671146048e-01,5.680939823933596200e-01,-1.478174830424348607e-01
6.285090941591550129e-01,5.680839882412819231e-01,-1.478395998337679595e-01
6.286036625782616127e-01,5.680739875908059622e-01,-1.478617160732940417e-01
6.286982452265750254e-01,5.680639804558952344e-01,-1.478838317636139155e-01
6.287928421062362050e-01,5.680539668505963924e-01,-1.479059469071618838e-01
6.288874532193865496e-01,5.680439467887772320e-01,-1.479280615064797744e-01
6.289820785681676796e-01,5.680339202844947311e-01,-1.479501755640036942e-01
6.290767181547215481e-01,5.680238873516180176e-01,-1.479722890822519898e-01
6.291713719811903305e-01,5.680138480040379800e-01,-1.479944020637050106e-01
6.292660400497168682e-01,5.680038022557425403e-01,-1.480165145108621738e-01
6.293607223624438918e-01,5.679937501205629680e-01,-1.480386264261783769e-01
6.294554189215146867e-01,5.679836916123982560e-01,-1.480607378121497619e-01
6.295501297290728715e-01,5.679736267450757881e-01,-1.480828486712367498e-01
6.296448547872622870e-01,5.679635555323870877e-01,-1.481049590059313470e-01
6.297395940982272178e-01,5.679534779882337014e-01,-1.481270688187195650e-01
6.298343476641121708e-01,5.679433941264528940e-01,-1.481491781120045093e-01
6.299291154870619858e-01,5.679333039606717648e-01,-1.481712868883416079e-01
6.300238975692218357e-01,5.679232075047982997e-01,-1.481933951501352431e-01
6.301186939127372266e-01,5.679131047725224368e-01,-1.482155028998783652e-01
6.302135045197541086e-01,5.679029957776580151e-01,-1.482376101400300350e-01
6.303083293924184316e-01,5.678928805338802066e-01,-1.482597168730555581e-01
6.304031685328768120e-01,5.678827590548772841e-01,-1.482818231013574850e-01
6.304980219432760880e-01,5.678726313544077975e-01,-1.483039288274405898e-01
6.305928896257632088e-01,5.678624974459732799e-01,-1.483260340537526645e-01
6.306877715824857900e-01,5.678523573434730576e-01,-1.483481387827715603e-01
6.307826678155915578e-01,5.678422110604519624e-01,-1.483702430168410136e-01
6.308775783272285720e-01,5.678320586104530499e-01,-1.483923467585336886e-01
6.309725031195452249e-01,5.678219000071453859e-01,-1.484144500102000663e-01
6.310674421946903534e-01,5.678117352641710580e-01,-1.484365527743239654e-01
6.311623955548127940e-01,5.678015643950966584e-01,-1.484586550533293636e-01
6.312573632020621606e-01,5.677913874134344896e-01,-1.484807568496364083e-01
6.313523451385881780e-01,5.677812043327141733e-01,-1.485028581657286406e-01
6.314473413665406820e-01,5.677710151666114369e-01,-1.485249590039836587e-01
6.315423518880701748e-01,5.677608199284389645e-01,-1.485470593668592187e-01
6.316373767053272692e-01,5.677506186317632375e-01,-1.485691592567698893e-01
