omega,Re_G_fit,Im_G_fit
6.3460320000e-01,5.7534203738e-01,-1.4621257844e-01
6.4421661335e-01,5.7646613557e-01,-1.4253447062e-01
6.5397565741e-01,5.7602087445e-01,-1.4313754419e-01
6.6388253831e-01,5.7450827455e-01,-1.4662438844e-01
6.7393949556e-01,5.7235101222e-01,-1.5168060634e-01
6.8414880265e-01,5.6991197517e-01,-1.5720296965e-01
6.9451276746e-01,5.6748781364e-01,-1.6237669173e-01
7.0503373286e-01,5.6529184220e-01,-1.6670177840e-01
7.1571407720e-01,5.6344213668e-01,-1.6997508090e-01
7.2655621488e-01,5.6196409282e-01,-1.7223911271e-01
7.3756259685e-01,5.6080813792e-01,-1.7371049291e-01
7.4873571119e-01,5.5987698139e-01,-1.7470077024e-01
7.6007808369e-01,5.5905462135e-01,-1.7554119252e-01
7.7159227838e-01,5.5823073332e-01,-1.7652100194e-01
7.8328089815e-01,5.5731715446e-01,-1.7784595285e-01
7.9514658532e-01,5.5625605600e-01,-1.7962000094e-01
8.0719202221e-01,5.5502108751e-01,-1.8184898652e-01
8.1941993181e-01,5.5361332583e-01,-1.8446145497e-01
8.3183307835e-01,5.5205385258e-01,-1.8733933999e-01
8.4443426791e-01,5.5037472423e-01,-1.9035055826e-01
8.5722634911e-01,5.4861009885e-01,-1.9337661787e-01
8.7021221371e-01,5.4678914743e-01,-1.9633068081e-01
8.8339479727e-01,5.4493190196e-01,-1.9916443637e-01
8.9677707984e-01,5.4304839119e-01,-2.0186490608e-01
9.1036208658e-01,5.4114053162e-01,-2.0444433497e-01
9.2415288851e-01,5.3920558120e-01,-2.0692730626e-01
9.3815260317e-01,5.3723972787e-01,-2.0933909026e-01
9.5236439529e-01,5.3524059059e-01,-2.1169818422e-01
9.6679147759e-01,5.3320793259e-01,-2.1401436922e-01
9.8143711142e-01,5.3114254070e-01,-2.1629185086e-01
9.9630460757e-01,5.2904382926e-01,-2.1853559991e-01
1.0113973270e+00,5.2690713810e-01,-2.2075819894e-01
1.0267186814e+00,5.2472181180e-01,-2.2298448435e-01
1.0422721345e+00,5.2247094613e-01,-2.2525200174e-01
1.0580612021e+00,5.2013322432e-01,-2.2760654577e-01
1.0740894536e+00,5.1768667686e-01,-2.3009350098e-01
1.0903605123e+00,5.1511364821e-01,-2.3274697196e-01
1.1068780563e+00,5.1240587714e-01,-2.3557946390e-01
1.1236458197e+00,5.0956846596e-01,-2.3857494090e-01
1.1406675928e+00,5.0662163975e-01,-2.4168741006e-01
1.1579472237e+00,5.0359956264e-01,-2.4484591250e-01
1.1754886186e+00,5.0054604994e-01,-2.4796526400e-01
1.1932957427e+00,4.9750771880e-01,-2.5096047615e-01
1.2113726217e+00,4.9452581581e-01,-2.5376186159e-01
1.2297233418e+00,4.9162844421e-01,-2.5632760403e-01
1.2483520516e+00,4.8882498992e-01,-2.5865108642e-01
1.2672629620e+00,4.8610412362e-01,-2.6076137794e-01
1.2864603481e+00,4.8343592217e-01,-2.6271673047e-01
1.3059485497e+00,4.8077764927e-01,-2.6459242862e-01
1.3257319722e+00,4.7808186400e-01,-2.6646557423e-01
1.3458150878e+00,4.7530502082e-01,-2.6840010117e-01
1.3662024366e+00,4.7241467423e-01,-2.7043531913e-01
1.3868986271e+00,4.6939376056e-01,-2.7258052596e-01
1.4079083380e+00,4.6624108276e-01,-2.7481683739e-01
1.4292363187e+00,4.6296794447e-01,-2.7710567654e-01
1.4508873906e+00,4.5959174228e-01,-2.7940176454e-01
1.4728664481e+00,4.5612807776e-01,-2.8166736557e-01
1.4951784597e+00,4.5258340780e-01,-2.8388423436e-01
1.5178284693e+00,4.4895024332e-01,-2.8606025240e-01
1.5408215971e+00,4.4520636875e-01,-2.8822898045e-01
1.5641630409e+00,4.4131859618e-01,-2.9044201209e-01
1.5878580772e+00,4.3725044711e-01,-2.9275572722e-01
1.6119120625e+00,4.3297217826e-01,-2.9521544085e-01
1.6363304344e+00,4.2847096487e-01,-2.9784069108e-01
1.6611187128e+00,4.2375891830e-01,-3.0061529260e-01
1.6862825015e+00,4.1887692474e-01,-3.0348476966e-01
1.7118274889e+00,4.1389298582e-01,-3.0636209311e-01
1.7377594495e+00,4.0889475088e-01,-3.0914070571e-01
1.7640842457e+00,4.0397714278e-01,-3.1171215080e-01
1.7908078283e+00,3.9922718059e-01,-3.1398465092e-01
1.8179362385e+00,3.9470897278e-01,-3.1589891032e-01
