omega,Re_G_data,Im_G_data
6.2832000000e-01,5.6667282272e-01,-1.5841866048e-01
6.2832000000e-01,5.6694764510e-01,-1.5776833592e-01
6.2832000000e-01,5.7190424082e-01,-1.5004641592e-01
6.2832000000e-01,5.7361364791e-01,-1.4955723665e-01
6.2832000000e-01,5.7514141363e-01,-1.4691897913e-01
6.2832000000e-01,5.7517446334e-01,-1.4751576466e-01
6.2832000000e-01,5.8006400416e-01,-1.3572024159e-01
6.2832000000e-01,5.8103142556e-01,-1.3922942547e-01
6.2832000000e-01,5.8025528596e-01,-1.4442979165e-01
6.2832000000e-01,5.8236356414e-01,-1.3967796376e-01
6.7792000000e-01,5.7573505945e-01,-1.5304696735e-01
6.7792000000e-01,5.7607156078e-01,-1.5047497088e-01
6.7792000000e-01,5.7046757152e-01,-1.5761134302e-01
6.7792000000e-01,5.6994568648e-01,-1.5751009671e-01
6.7792000000e-01,5.7620981430e-01,-1.4870897081e-01
6.7792000000e-01,5.6926508890e-01,-1.5076037496e-01
6.7792000000e-01,5.6406090128e-01,-1.6853186536e-01
6.7792000000e-01,5.6410628109e-01,-1.5916180616e-01
6.7792000000e-01,5.5243721900e-01,-1.7439379337e-01
6.7792000000e-01,5.6732085934e-01,-1.6047310978e-01
7.3144000000e-01,5.7147429224e-01,-1.6871950957e-01
7.3144000000e-01,5.7208045038e-01,-1.6521673612e-01
7.3144000000e-01,5.7126074654e-01,-1.6031733643e-01
7.3144000000e-01,5.7057509129e-01,-1.5965107359e-01
7.3144000000e-01,5.6473579243e-01,-1.7097510710e-01
7.3144000000e-01,5.6374246674e-01,-1.6251560291e-01
7.3144000000e-01,5.5745410689e-01,-1.7194614159e-01
7.3144000000e-01,5.5809347793e-01,-1.6865346213e-01
7.3144000000e-01,5.5395049144e-01,-1.7748833520e-01
7.3144000000e-01,5.5740333563e-01,-1.7929557252e-01
7.8919000000e-01,5.5785458256e-01,-1.8160383701e-01
7.8919000000e-01,5.6634273761e-01,-1.7512208187e-01
7.8919000000e-01,5.6500132025e-01,-1.7319183184e-01
7.8919000000e-01,5.6268024313e-01,-1.7545171414e-01
7.8919000000e-01,5.5854641642e-01,-1.7111542774e-01
7.8919000000e-01,5.5208166315e-01,-1.8046973740e-01
7.8919000000e-01,5.5321667949e-01,-1.8268570151e-01
7.8919000000e-01,5.5591901781e-01,-1.7691223174e-01
7.8919000000e-01,5.4865151135e-01,-1.9027775275e-01
7.8919000000e-01,5.4481718160e-01,-1.8958295870e-01
8.5149000000e-01,5.5871992435e-01,-1.8445343732e-01
8.5149000000e-01,5.5737706118e-01,-1.8828498101e-01
8.5149000000e-01,5.5780857721e-01,-1.8258262813e-01
